participant	session	routine	component	trial_index	trial_name	identifier	sample_index	time	white_force	blue_force
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	71	0.3896282999776304	15	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	72	0.3996665999875404	27	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	73	0.39971650001825765	19	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	74	0.4094428999815136	20	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	75	0.4094710000208579	17	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	76	0.41949110000859946	21	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	77	0.41950770001858473	19	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	78	0.4306106999865733	27	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	79	0.43062639998970553	20	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	80	0.439481400011573	26	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	81	0.43950259999837726	50	8
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	82	0.4496246000053361	21	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	83	0.44964860001346096	24	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	84	0.4593853999977	30	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	85	0.4594033000175841	23	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	86	0.46995960001368076	23	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	87	0.4699782999814488	39	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	88	0.4796067000133917	30	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	89	0.4796277999994345	41	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	90	0.4895088999764994	18	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	91	0.48953169997548684	83	3
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	92	0.49973330000648275	19	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	93	0.4997626999975182	37	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	94	0.509546399989631	14	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	95	0.5095629999996163	13	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	96	0.5198965999879874	42	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	97	0.5199178999755532	22	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	98	0.5314519999665208	75	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	99	0.5314665000187233	23	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	100	0.5403856000048108	14	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	101	0.5404132999829017	53	5
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	102	0.5506686000153422	13	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	103	0.5507238999707624	83	1
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	104	0.5603863999713212	18	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	105	0.5604301000130363	79	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	106	0.5703947999863885	75	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	107	0.5704142000176944	68	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	108	0.5808751999866217	76	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	109	0.5809378999983892	17	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	110	0.5904226999846287	17	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	111	0.5904472999973223	89	6
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	112	0.6005243000108749	79	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	113	0.6005705000134185	47	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	114	0.6117023999686353	19	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	115	0.6117758000036702	37	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	116	0.6209548999904655	76	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	117	0.6209675999707542	51	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	118	0.6321216999785975	30	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	119	0.6321412000106648	18	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	120	0.6419041000190191	17	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	121	0.6421442999853753	51	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	122	0.651412800012622	19	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	123	0.651470499986317	24	1
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	124	0.6609828000073321	17	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	125	0.6610191999934614	29	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	126	0.6711351000121795	46	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	127	0.6711587000172585	36	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	128	0.6816047999891452	58	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	129	0.681645100004971	36	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	130	0.6910662999725901	73	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	131	0.6910835999879055	65	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	132	0.701289499993436	35	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	133	0.7013558999751695	21	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	134	0.711391500022728	46	4
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	135	0.71140839997679	44	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	136	0.7212566999951378	65	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	137	0.7212809000047855	41	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	138	0.7325302999815904	72	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	139	0.7325625999947079	51	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	140	0.7411087999935262	43	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	141	0.7411451999796554	31	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	142	0.7510312999947928	21	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	143	0.7510656000231393	31	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	144	0.7611534000025131	99	4
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	145	0.7611630000174046	17	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	146	0.7711098999716341	17	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	147	0.7711305000120774	41	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	148	0.781195999996271	80	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	149	0.7812225000234321	80	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	150	0.7911028999951668	18	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	151	0.7911224999697879	15	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	152	0.8013004999957047	30	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	153	0.8013275999692269	44	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	154	0.8111259000143036	68	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	155	0.8111503999680281	17	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	156	0.8210416000219993	32	6
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	157	0.8210587999783456	38	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	158	0.8311085000168532	62	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	159	0.8311344999819994	22	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	160	0.8411945999832824	38	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	161	0.8412127000046894	77	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	162	0.8512242999859154	79	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	163	0.8512471999856643	34	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	164	0.8611687999800779	19	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	165	0.8612078999867663	73	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	166	0.8713060999871232	89	7
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	167	0.8713434999808669	69	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	168	0.8810443999827839	72	3
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	169	0.8810567000182346	26	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	170	0.8911057999939658	52	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	171	0.8911223000031896	37	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	172	0.9018090000026859	47	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	173	0.9018270000233315	15	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	174	0.9111265999963507	78	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	175	0.9111748000141233	24	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	176	0.9213081999914721	22	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	177	0.9213267000159249	24	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	178	0.9314797999686562	34	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	179	0.9315340999746695	61	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	180	0.9410873000160791	33	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	181	0.9411060999846086	69	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	182	0.9511735999840312	39	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	183	0.9511838000034913	16	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	184	0.9610961999860592	72	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	185	0.961115800018888	66	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	186	0.9711809000000358	14	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	187	0.9712037999997847	27	0
