participant	session	routine	component	trial_index	trial_name	identifier	sample_index	time	white_force	blue_force
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	0	0.020788599969819188	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	1	0.020802400016691536	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	2	0.03936719999182969	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	3	0.039380299975164235	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	4	0.04932120000012219	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	5	0.04934059997322038	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	6	0.06101679999846965	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	7	0.061061899992637336	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	8	0.06932389998110011	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	9	0.06934310001088306	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	10	0.07929819996934384	2	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	11	0.07931439997628331	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	12	0.08964469999773428	1	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	13	0.08968689996981993	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	14	0.09936300001572818	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	15	0.09937899996293709	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	16	0.10930690000532195	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	17	0.10933979996480048	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	18	0.12057879997882992	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	19	0.1205999999656342	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	20	0.12942690000636503	3	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	21	0.12944699998479337	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	22	0.1392661000136286	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	23	0.1392898999620229	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	24	0.1494787000119686	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	25	0.1495104999630712	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	26	0.1593220999930054	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	27	0.15935370000079274	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	28	0.16945079999277368	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	29	0.16948019998380914	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	30	0.17939589999150485	3	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	31	0.1794283000053838	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	32	0.18937919999007136	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	33	0.18940350000048056	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	34	0.1995632000034675	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	35	0.1996116999653168	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	36	0.20957619999535382	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	37	0.20962490001693368	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	38	0.2207219999982044	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	39	0.2207411999697797	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	40	0.22972679999656975	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	41	0.22975309996400028	12	7
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	42	0.23965229996247217	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	43	0.23967779998201877	7	3
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	44	0.24975029996130615	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	45	0.24976679997052997	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	46	0.26029949996154755	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	47	0.2603272999986075	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	48	0.2697528999997303	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	49	0.269782799994573	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	50	0.27977159997681156	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	51	0.2797941999742761	7	6
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	52	0.28992979996837676	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	53	0.28998439997667447	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	54	0.29968399996869266	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	55	0.2997072999714874	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	56	0.30991090001771227	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	57	0.3099287999793887	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	58	0.3209505999693647	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	59	0.32097499998053536	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	60	0.3298046999843791	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	61	0.32983110001077875	11	11
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	62	0.3396673999959603	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	63	0.33970439998665825	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	64	0.34998279996216297	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	65	0.3500122000114061	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	66	0.3600156999891624	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	67	0.36005129996920004	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	68	0.37033349997363985	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	69	0.3703678000019863	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	70	0.37977719999616966	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	71	0.37979490001453087	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	72	0.39012240001466125	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	73	0.390168400015682	10	4
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	74	0.3999317999696359	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	75	0.3999473999720067	4	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	76	0.40986259997589514	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	77	0.4098816000041552	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	78	0.4199110000045039	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	79	0.41993340000044554	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	80	0.4299219999811612	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	81	0.4299382999888621	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	82	0.43993009999394417	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	83	0.43994329997804016	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	84	0.4498291999916546	4	4
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	85	0.4498586999834515	1	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	86	0.4599281999981031	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	87	0.45995459996629506	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	88	0.46986389998346567	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	89	0.4699043000000529	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	90	0.4799189000041224	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	91	0.4799343000049703	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	92	0.4900220999843441	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	93	0.4900410000118427	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	94	0.4998794000130147	2	17
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	95	0.4998976999777369	2	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	96	0.5099310000077821	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	97	0.5099472000147216	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	98	0.5200113999890164	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	99	0.5200306000187993	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	100	0.5298581999959424	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	101	0.5298764000181109	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	102	0.5411418000003323	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	103	0.5411624999833293	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	104	0.5498118000105023	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	105	0.5498324999934994	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	106	0.5598490000120364	13	4
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	107	0.559863000002224	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	108	0.5699092000140809	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	109	0.5699436999857426	3	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	110	0.5804242999874987	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	111	0.5804614999797195	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	112	0.5903222999768332	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	113	0.590366099961102	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	114	0.5998008999740705	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	115	0.5998182999901474	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	116	0.609856299997773	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	117	0.6098764999769628	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	118	0.6199755999841727	17	9
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	119	0.619994200009387	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	120	0.6297656999668106	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	121	0.6297817999729887	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	122	0.6410744999884628	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	123	0.6410945999668911	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	124	0.6502611999749206	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	125	0.6503039000090212	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	126	0.660257300012745	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	127	0.6603242999990471	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	128	0.669893599988427	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	129	0.6699178999988362	8	4
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	130	0.6800137999816798	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	131	0.6800569000188261	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	132	0.6899509999784641	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	133	0.6899901999859139	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	134	0.7001709999749437	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	135	0.7002065000124276	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	136	0.7107417999650352	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	137	0.7107569999643601	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	138	0.719991099962499	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	139	0.7200063999625854	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	140	0.7302418000181206	3	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	141	0.7302877000183798	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	142	0.7400786000071093	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	143	0.7401014000060968	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	144	0.7498067999840714	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	145	0.7498284999746829	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	146	0.7599841000046581	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	147	0.7599951999727637	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	148	0.7700475999736227	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	149	0.7700658999965526	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	150	0.7800032999948598	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	151	0.7800225999671966	15	7
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	152	0.7903315000003204	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	153	0.7903579999692738	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	154	0.8002382999984547	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	155	0.8002908999915235	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	156	0.8099666999769397	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	157	0.8099936000071466	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	158	0.8199783000163734	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	159	0.8199934000149369	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	160	0.8300896000000648	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	161	0.8301055000047199	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	162	0.8400362000102177	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	163	0.8400534999673255	7	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	164	0.849949800001923	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	165	0.8499666000134312	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	166	0.8599471999914385	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	167	0.8599612999823876	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	168	0.8711126999696717	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	169	0.8711283999728039	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	170	0.8799384000012651	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	171	0.8799516999861225	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	172	0.8900785999721847	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	173	0.8901075000176206	8	2
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	174	0.9003838999778964	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	175	0.9004393999930471	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	176	0.9100827999645844	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	177	0.9100974000175484	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	178	0.9199682999751531	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	179	0.9199849999858998	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	180	0.930130900000222	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	181	0.9301470000064	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	182	0.9402655999874696	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	183	0.9402891999925487	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	184	0.9499789999681525	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	185	0.9499956999788992	2	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	186	0.9600540999672376	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	187	0.9600734999985434	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	188	0.9713943999959156	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	189	0.9714210999663919	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	190	0.9800809000153095	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	191	0.9801054999697953	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	192	0.9901065999874845	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	193	0.9901208999799564	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	194	1.0012272999738343	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	195	1.001240899960976	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	196	1.0100379000068642	15	10
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	197	1.0100527000031434	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	198	1.0205666999681853	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	199	1.0206027000094764	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	200	1.0300547999795526	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	201	1.030075999966357	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	202	1.0403305999934673	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	203	1.040383199986536	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	204	1.0501034999615513	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	205	1.050119999970775	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	206	1.0600562000181526	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	207	1.0600728999706917	4	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	208	1.0702098999754526	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	209	1.0702268999884836	1	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	210	1.080071299977135	0	0
