participant	session	routine	component	trial_index	trial_name	identifier	sample_index	time	white_force	blue_force
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	0	0.02815060003194958	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	1	0.028163300012238324	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	2	0.036297000013291836	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	3	0.036323899985291064	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	4	0.04626130004180595	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	5	0.04628290003165603	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	6	0.05628020002041012	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	7	0.05629989999579266	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	8	0.0667441000114195	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	9	0.06677010003477335	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	10	0.07631570001831278	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	11	0.07634820003295317	3	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	12	0.08636359998490661	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	13	0.0863853000337258	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	14	0.09630500001367182	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	15	0.09633359999861568	4	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	16	0.10624659998575225	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	17	0.10627109999768436	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	18	0.11664090002886951	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	19	0.11667560000205413	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	20	0.1278120999922976	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	21	0.12783860001945868	4	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	22	0.13664530002279207	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	23	0.1366791999898851	6	3
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	24	0.1466820000205189	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	25	0.1467125000199303	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	26	0.15667340002255514	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	27	0.15670390002196655	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	28	0.16664250002941117	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	29	0.16666710004210472	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	30	0.177900500013493	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	31	0.17793649999657646	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	32	0.18665470002451912	16	9
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	33	0.18668280000565574	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	34	0.19671029999153689	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	35	0.1967391000362113	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	36	0.20662170002469793	1	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	37	0.2066484999959357	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	38	0.21716810000361875	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	39	0.2171931000193581	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	40	0.22783009998966008	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	41	0.2278482000110671	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	42	0.23668189998716116	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	43	0.23670080001465976	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	44	0.24674080003751442	7	2
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	45	0.24677860003430396	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	46	0.2599783000187017	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	47	0.26002600003266707	7	3
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	48	0.266799200035166	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	49	0.2668316999915987	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	50	0.2766332000028342	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	51	0.27666080003837124	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	52	0.28671730001224205	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	53	0.28674300003331155	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	54	0.2967731000389904	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	55	0.2968038000399247	8	5
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	56	0.30665000004228204	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	57	0.30667250003898516	0	0
pilot	001	countdown	apparatusForce_2	-1	maxForce	test	58	0.3166837000171654	0	0
